cluster	slug	title	audience	focus
sensory_behavior	positive-behavior-support	الدعم السلوكي الإيجابي	الأسر والمدارس والخدمات	منع المشكلات عبر تعديل البيئة وتعليم بدائل وظيفية وقياس جودة الحياة.
sensory_behavior	distress-and-meltdown-prevention	الوقاية من الضيق والانهيار	الأسر والمدارس وفرق الرعاية	تمييز الإرهاق الحسي أو الألم أو صعوبة التواصل وبناء خطة تهدئة غير عقابية.
health	sleep-assessment-developmental-disability	تقييم النوم لدى ذوي الإعاقات النمائية	الأسر وأطباء الرعاية والمختصون	جمع نمط النوم والروتين والأدوية والألم والتنفس قبل اختيار التدخل.
health	feeding-eating-support	دعم الأكل والتغذية الانتقائية	الأسر وفرق التغذية والتأهيل	فصل الجوانب الحسية والمهارية والطبية والسلوكية ووضع خطة تدريجية آمنة.
health	swallowing-safety-referral	سلامة البلع ومتى تلزم الإحالة	الأسر ومقدمو الرعاية وفرق الصحة	التعرف إلى مؤشرات الاختناق والشفط الرئوي والحاجة إلى تقييم متخصص.
health	pain-recognition-nonspeaking	التعرف إلى الألم لدى غير الناطقين	الأسر والتمريض والأطباء ومقدمو الرعاية	استخدام خط أساس سلوكي وفسيولوجي وتغيرات الوظيفة لتجنب إهمال الألم.
health	epilepsy-safety-plan	خطة أمان الصرع والنوبات	الأسر والمدارس ومقدمو الخدمات	توحيد الإسعاف الأولي والتوثيق ومؤشرات الطوارئ وخطة التواصل مع الفريق الطبي.
health	medication-review-developmental-disability	مراجعة الأدوية لدى ذوي الإعاقات النمائية	الأطباء والصيادلة والأسر	تتبع الهدف والفائدة والآثار الجانبية والتداخلات وخطة المراجعة والإيقاف الآمن.
health	oral-health-access	إتاحة صحة الفم والأسنان	الأسر وأطباء الأسنان ومقدمو الدعم	تقليل العوائق الحسية والتواصلية وبناء تهيئة تدريجية للوقاية والعلاج.
health	vision-access-support	دعم الوصول عند الإعاقة البصرية	الأسر والمعلمون وفرق التأهيل	تحسين التباين والإضاءة والوصف والتنقل والوصول إلى المواد التعليمية.
health	hearing-access-support	دعم الوصول عند فقدان السمع	الأسر والمدارس والخدمات الصحية	تحسين البيئة السمعية واللغة المرئية والتقنيات والتواصل مع الشخص.
mobility_at	mobility-and-positioning	الحركة والتموضع الوظيفي	العلاج الطبيعي والوظيفي والأسر والمدارس	ربط التموضع بالراحة والتنفس والتواصل والوصول والمشاركة لا بالشكل فقط.
mobility_at	wheelchair-seating-service	خدمة الكراسي المتحركة والجلوس	فرق التأهيل والمستخدمون والأسر	تنظيم التقييم والتجربة والملاءمة والتدريب والمتابعة والصيانة.
mobility_at	pressure-injury-prevention	الوقاية من إصابات الضغط	مستخدمو الكراسي ومقدمو الرعاية والفرق الصحية	تقييم الجلد والجلوس والحركة والتغذية والمعدات ووضع خطة متابعة.
mobility_at	falls-risk-and-safe-mobility	مخاطر السقوط والحركة الآمنة	الأسر وفرق التأهيل ومقدمو الرعاية	تحديد العوامل الفردية والبيئية والدوائية وبناء تدخلات متعددة المكونات.
mobility_at	assistive-technology-assessment	تقييم التقنيات المساعدة	المستخدمون وفرق التأهيل والتعليم والعمل	البدء بالنشاط والبيئة وتجربة البدائل قبل قرار الشراء أو الوصف.
mobility_at	assistive-technology-trial	تجربة التقنية المساعدة قبل الاعتماد	المستخدمون والمختصون والجهات الممولة	اختبار التقنية في السياقات الحقيقية وتوثيق المنفعة والعبء والمخاطر.
mobility_at	device-training-maintenance	تدريب وصيانة الأجهزة المساعدة	المستخدمون والأسر والفنيون ومقدمو الخدمات	ضمان الاستخدام الآمن وخطة الأعطال والبطاريات والتنظيف والتحديث والاستبدال.
mobility_at	smart-home-accessibility	إتاحة المنزل الذكي	الأشخاص ذوو الاحتياجات الخاصة والأسر والمهندسون	استخدام التحكم البيئي بأمان مع بدائل يدوية وخصوصية وخطة فشل.
mobility_at	digital-accessibility-cognitive	الإتاحة الرقمية والمعرفية	مصممو المواقع والخدمات والأسر والمستخدمون	تقليل الحمل المعرفي وتحسين اللغة والتنقل والأخطاء والتوافق مع التقنيات المساعدة.
education	inclusive-early-childhood	الدمج في الطفولة المبكرة	الأسر والحضانات وفرق التدخل المبكر	بناء مشاركة فعلية في اللعب والروتين والتعلم مع دعم داخل البيئة الطبيعية.
education	universal-design-for-learning	التصميم الشامل للتعلم UDL	المعلمون ومصممو المناهج والإدارات	توفير طرق متعددة للمشاركة والعرض والتعبير منذ البداية.
education	classroom-accommodations	التيسيرات الصفية	المعلمون والأسر وفرق الدعم	إزالة العوائق دون تغيير جوهر الهدف التعليمي عندما يكون ذلك مناسبًا.
education	individualized-education-planning	بناء الخطة التعليمية الفردية	الأسر والمعلمون والمختصون	ربط التقييم بالأهداف والخدمات والمسؤوليات والقياس والمراجعة.
education	curriculum-access	الوصول إلى المنهج	المعلمون ومصممو المواد وفرق التربية الخاصة	تكييف العرض والاستجابة والوقت والمواد مع الحفاظ على توقعات ذات معنى.
education	inclusive-assessment-school	التقييم المدرسي الدامج	المعلمون والإدارات والاختصاصيون	اختيار أدوات عادلة وتيسيرات موثقة وتفسير النتائج في ضوء فرص التعلم.
education	school-transition-planning	الانتقال بين المراحل والمدارس	الأسر والمدارس والطلاب	نقل المعلومات والخطط والتقنيات والعلاقات الداعمة قبل الانتقال.
education	attendance-participation-barriers	عوائق الحضور والمشاركة المدرسية	المدارس والأسر وفرق الصحة	تحليل الغياب والرفض المدرسي والنقل والصحة والحس والقبول الاجتماعي.
education	peer-inclusion-belonging	الاندماج مع الأقران والشعور بالانتماء	المدارس والطلاب والأسر	تصميم فرص تفاعل متكافئة ومنع العزل داخل الصف أو النشاط.
safeguarding	bullying-prevention-disability	منع التنمر المرتبط بالإعاقة	المدارس والأسر والطلاب	بناء وقاية وإبلاغ واستجابة تحمي الطفل ولا تحمله مسؤولية التنمر.
safeguarding	sexuality-education-disability	التربية الجنسية الآمنة لذوي الإعاقة	الأسر والمدارس والمختصون	تعليم الجسد والحدود والموافقة والخصوصية والعلاقات بلغة ملائمة للعمر والفهم.
safeguarding	safeguarding-abuse-prevention	الحماية من الإساءة والاستغلال	الأسر والخدمات والمدارس والمؤسسات	تقليل الاعتماد غير الآمن وتحسين الإبلاغ والوصول إلى الدعم والتحقيق.
family	family-centered-practice	الممارسة المتمحورة حول الأسرة	الفرق الصحية والتعليمية والتأهيلية والأسر	بناء شراكة تحترم خبرة الأسرة وأولوياتها وثقافتها دون نقل العبء إليها.
family	caregiver-wellbeing	رفاه مقدمي الرعاية	الأسر ومقدمو الخدمات وصناع القرار	رصد الضغط والنوم والعزلة والعبء وبناء دعم عملي ونفسي واجتماعي.
family	sibling-support	دعم الإخوة والأخوات	الأسر والمدارس والمرشدون	توفير معلومات مناسبة للعمر ووقت خاص ومساحة للمشاعر والمشاركة المتوازنة.
family	respite-care-planning	تخطيط الرعاية البديلة والاستراحة	الأسر والخدمات الاجتماعية ومقدمو الرعاية	تجهيز معلومات آمنة وتجربة تدريجية وخطة طوارئ واستمرارية.
family	home-routine-design	تصميم الروتين المنزلي الداعم	الأسر وفرق التدخل	تحليل الأنشطة اليومية وبناء إشارات وخيارات ودعم يزيد المشاركة والاستقلال.
participation	community-participation	المشاركة المجتمعية	الأشخاص ذوو الاحتياجات الخاصة والأسر والبلديات	إزالة عوائق الوصول والتواصل والتكلفة والمواقف وبناء مشاركة ذات معنى.
participation	recreation-sport-inclusion	الدمج في الرياضة والترفيه	الأندية والمدارس والأسر والمدربون	تكييف النشاط والمعدات والقواعد مع الحفاظ على الاختيار والمتعة والانتماء.
participation	public-transport-access	إتاحة النقل العام	الجهات الخدمية والمستخدمون والأسر	تقييم المسار والمعلومات والمركبات والمساعدة والسلامة والاستقلال.
transition	transition-to-adulthood	الانتقال إلى الرشد	الشباب والأسر والمدارس والخدمات	بدء التخطيط المبكر للصحة والتعليم والعمل والسكن والعلاقات واتخاذ القرار.
transition	vocational-profile-supported-employment	الملف المهني والعمل المدعوم	الباحثون عن عمل والمدربون وأصحاب العمل	مواءمة نقاط القوة والمهام والدعم والتعديلات والمتابعة في موقع العمل.
transition	higher-education-access	الوصول إلى التعليم العالي	الطلاب والجامعات والأسر	تنظيم الإفصاح والتيسيرات والتقنيات والمهارات التنفيذية والصحة النفسية.
transition	financial-capacity-benefits-navigation	القدرة المالية والتنقل بين المنافع	الأشخاص والأسر والخدمات الاجتماعية	تعليم المال ودعم القرار وفهم أثر العمل والدخل على المنافع وفق النظام المحلي.
transition	independent-living-skills	مهارات العيش المستقل	الشباب والبالغون والأسر والمختصون	تدريب المهارات داخل سياق حقيقي مع دعم متدرج وقياس للأمان والاختيار.
transition	supported-living-quality	جودة السكن المدعوم	الأشخاص والأسر والجهات الرقابية	تقييم الاختيار والخصوصية والمشاركة وجودة الدعم والحماية من العزل.
transition	health-transition-pediatric-adult	الانتقال من خدمات الأطفال إلى البالغين	الشباب والأسر والفرق الصحية	نقل الملخص الطبي والأدوية والتواصل والمسؤوليات وخطة المتابعة.
transition	aging-with-developmental-disability	التقدم في العمر مع الإعاقات النمائية	البالغون والأسر والخدمات الصحية والاجتماعية	رصد التغير الوظيفي والصحة المزمنة والخرف والدعم والسكن والتخطيط المستقبلي.
system_quality	emergency-preparedness-disability	الاستعداد للطوارئ مع الإعاقة	الأشخاص والأسر والمدارس والخدمات	بناء خطة شخصية للإخلاء والدواء والتواصل والطاقة والمعدات والدعم.
system_quality	disaster-inclusive-support	الدعم الدامج في الكوارث	البلديات والمنظمات الإنسانية ومقدمو الخدمات	إدماج الإعاقة في الإنذار والإخلاء والمأوى والمعلومات واستمرارية الرعاية.
system_quality	rehabilitation-goal-review	مراجعة أهداف التأهيل	المختصون والأسر والمستخدمون	إيقاف الأهداف غير المجدية وتعديل الجرعة وربط الجلسات بالوظيفة والمشاركة.
system_quality	service-quality-audit	تدقيق جودة خدمات الإعاقة	الإدارات والجهات الرقابية والأسر والمستخدمون	قياس الحقوق والسلامة والنتائج والخبرة والوصول والشفافية والتحسين المستمر.
